time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/n_updates,train/loss,train/clip_range,train/approx_kl,train/value_loss,train/entropy_loss,train/learning_rate
1,1600,1,2048,,,,,,,,,,
3,1078,2,4096,-0.019898800697410478,0.14327067,0.1744140625,10,-0.01898667961359024,0.2,0.013259702,0.035734552337089553,-1.7799403741955757,0.0003
6,978,3,6144,-0.020902897263295018,0.06160164,0.205126953125,20,-0.018357302993535995,0.2,0.010534788,0.051227442530216646,-1.7601630948483944,0.0003
8,914,4,8192,-0.015900994087132858,0.14552754,0.1359375,30,-0.026047423481941223,0.2,0.0112233395,0.0413858230196638,-1.7349242854863405,0.0003
11,898,5,10240,-0.021296589348639827,0.097761095,0.184130859375,40,-0.017129624262452126,0.2,0.014371207,0.023593388652079737,-1.7081343639642,0.0003
13,893,6,12288,-0.019399743030953688,-0.010861397,0.1666015625,50,-0.026846149936318398,0.2,0.013287974,0.01690931487682974,-1.651843798533082,0.0003
16,878,7,14336,-0.013547841057152255,0.021713436,0.1580078125,60,0.005946084391325712,0.2,0.015421383,0.03120243031735299,-1.5899171270430088,0.0003
18,876,8,16384,-0.015454490047704893,-0.021343589,0.154345703125,70,-0.03139276057481766,0.2,0.0126298275,0.009263601334532722,-1.5080968655645848,0.0003
21,870,9,18432,-0.015958808505820342,0.122702,0.147607421875,80,-0.06717129051685333,0.2,0.012811744,0.007039513247582363,-1.4169976733624936,0.0003
23,864,10,20480,-0.021286356890050227,0.25693023,0.236572265625,90,-0.03500138968229294,0.2,0.01957255,0.00718488874626928,-1.335207875445485,0.0003
26,863,11,22528,-0.007219027545943391,0.2693975,0.069189453125,100,-0.0142395393922925,0.2,0.007366406,0.005924822674569441,-1.2411069203168155,0.0003
28,862,12,24576,-0.011087082570884376,0.4685123,0.09931640625,110,-0.02196817845106125,0.2,0.008334791,0.006380054020701209,-1.1469600547105074,0.0003
