time/fps,time/iterations,time/total_timesteps,time/time_elapsed,train/policy_gradient_loss,train/clip_range,train/n_updates,train/approx_kl,train/value_loss,train/loss,train/entropy_loss,train/clip_fraction,train/explained_variance,train/learning_rate
1716,1,2048,1,,,,,,,,,,
1079,2,4096,3,-0.02301522618799936,0.2,10,0.012496354,0.1051851924858056,-0.04992041364312172,-1.7818065855652094,0.189013671875,-0.060270548,0.0003
985,3,6144,6,-0.023958641655917746,0.2,20,0.014301009,0.12552227268461139,-0.01442369818687439,-1.7624853827059268,0.145361328125,-0.02756977,0.0003
939,4,8192,8,-0.019036112837784457,0.2,30,0.010708458,0.05581214989651926,-0.00219535268843174,-1.7365938898175954,0.120751953125,0.23190504,0.0003
906,5,10240,11,-0.017003932709849325,0.2,40,0.01238519,0.055524876445997504,-0.03893826901912689,-1.6945058345794677,0.130908203125,0.3334095,0.0003
880,6,12288,13,-0.017961974606441798,0.2,50,0.010228543,0.03288955295283813,0.00621640682220459,-1.6508232522755861,0.119921875,0.60888004,0.0003
862,7,14336,16,-0.006816407322548912,0.2,60,0.00988596,0.07191612402384635,-0.0017877332866191864,-1.6224506996572017,0.0767578125,0.4806434,0.0003
854,8,16384,19,-0.012310089268430602,0.2,70,0.012878627,0.08511899197474122,0.053822118788957596,-1.6028205972164868,0.159423828125,0.57264364,0.0003
853,9,18432,21,-0.0055678509150311585,0.2,80,0.010226669,0.023725540273153455,-0.02060772106051445,-1.5809464994817972,0.066455078125,0.74795353,0.0003
861,10,20480,23,-0.011911635230353568,0.2,90,0.010638364,0.020578796959307512,-0.027816690504550934,-1.5016916215419769,0.138330078125,0.8742049,0.0003
861,11,22528,26,-0.0076830825593788175,0.2,100,0.0066933064,0.02355670169708901,0.0017161276191473007,-1.4895113434642553,0.067578125,0.8220542,0.0003
866,12,24576,28,-0.008221202352433465,0.2,110,0.0076409993,0.0037001982989750106,-0.01885147951543331,-1.4948793172836303,0.074365234375,0.816869,0.0003
870,13,26624,30,-0.003905249750823714,0.2,120,0.0072567663,0.005953073961609334,-0.0006400544662028551,-1.502560620754957,0.074853515625,0.7467724,0.0003
875,14,28672,32,-0.0055459231152781285,0.2,130,0.009398367,0.027918581113044637,-0.05101904273033142,-1.5260355435311794,0.121533203125,0.69980896,0.0003
878,15,30720,34,-0.005691351847781334,0.2,140,0.009196412,0.0018805475256158388,-0.025357618927955627,-1.5018803477287292,0.072412109375,0.33667427,0.0003
881,16,32768,37,-0.007293500745072378,0.2,150,0.012457421,0.002291858296848659,-0.014412268996238708,-1.430867648124695,0.159033203125,0.9041059,0.0003
883,17,34816,39,-0.007033182054146892,0.2,160,0.0071826833,0.00145990613241338,-0.01916741579771042,-1.448536192253232,0.106640625,0.437203,0.0003
885,18,36864,41,-0.002298950637486996,0.2,170,0.006504702,0.010522623565702816,-0.019913839176297188,-1.4205440577119588,0.06259765625,0.62239337,0.0003
887,19,38912,43,-0.006792929212679155,0.2,180,0.008310922,0.047599283991439735,0.005886714905500412,-1.4011860698461533,0.059228515625,0.88268876,0.0003
887,20,40960,46,-0.008243943165871315,0.2,190,0.01426929,0.002237398342913366,0.03483046591281891,-1.4506241470575332,0.0994140625,0.9133708,0.0003
